percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.795338787,65,5154,2017/06/29
0.795801821,66,5157,2017/06/29
0.797190925,70,5166,2017/06/29
0.797345269,73,5167,2017/06/29
0.798271338,69,5173,2017/06/29
0.803056027,69,5204,2017/06/29
0.805988578,67,5223,2017/06/29
0.811699336,74,5260,2017/06/29
0.815249267,71,5283,2017/06/29
0.819416577,69,5310,2017/06/29
0.819879611,70,5313,2017/06/29
0.820651335,72,5318,2017/06/29
0.821577404,71,5324,2017/06/29
0.827288162,56,5361,2017/06/29
0.828214231,58,5367,2017/06/29
0.829294644,59,5374,2017/06/29
0.839018367,75,5437,2017/06/29
0.839944436,66,5443,2017/06/29
0.842722642,74,5461,2017/06/29
0.845500849,63,5479,2017/06/29
0.846118228,61,5483,2017/06/29
0.848587745,66,5499,2017/06/29
0.84874209,65,5500,2017/06/29
0.851365952,65,5517,2017/06/29
0.853372434,57,5530,2017/06/29
0.858311468,85,5562,2017/06/29
0.866337398,93,5614,2017/06/29
0.867263467,81,5620,2017/06/29
0.86834388,66,5627,2017/06/29
0.869887328,64,5637,2017/06/29
0.87251119,69,5654,2017/06/29
0.873437259,65,5660,2017/06/29
0.874826362,79,5669,2017/06/29
0.881308844,74,5711,2017/06/29
0.887791326,77,5753,2017/06/29
0.888100015,79,5755,2017/06/29
0.89628029,72,5808,2017/06/29
0.896897669,73,5812,2017/06/29
0.898132428,75,5820,2017/06/29
0.901219324,80,5840,2017/06/29
0.906158358,85,5872,2017/06/29
0.907393116,82,5880,2017/06/29
0.907856151,80,5883,2017/06/29
0.90816484,81,5885,2017/06/29
0.910016978,89,5897,2017/06/29
0.910325668,89,5899,2017/06/29
0.914956012,85,5929,2017/06/29
0.919277666,89,5957,2017/06/29
0.921592838,84,5972,2017/06/29
0.922981942,81,5981,2017/06/29
0.923136286,82,5982,2017/06/29
0.924834079,85,5993,2017/06/29
0.928538355,87,6017,2017/06/29
0.93610125,83,6066,2017/06/29
0.937644698,80,6076,2017/06/29
0.938107733,79,6079,2017/06/29
0.94057725,85,6095,2017/06/29
0.941966353,81,6104,2017/06/29
0.943355456,70,6113,2017/06/29
0.94412718,69,6118,2017/06/29
0.945053249,74,6124,2017/06/29
0.945516283,73,6127,2017/06/29
0.946133663,74,6131,2017/06/29
0.946751042,73,6135,2017/06/29
0.954313937,84,6184,2017/06/29
0.96017904,75,6222,2017/06/29
0.968050625,81,6273,2017/06/29
0.969131039,79,6280,2017/06/29
0.975613521,91,6322,2017/06/29
0.976848279,83,6330,2017/06/29
0.983176416,86,6371,2017/06/29
0.983330761,89,6372,2017/06/29
0.983793795,90,6375,2017/06/29
0.990430622,78,6418,2017/06/29
0.993208829,79,6436,2017/06/29
0.994443587,75,6444,2017/06/29
0.99583269,80,6453,2017/06/29
0.999073931,91,6474,2017/06/29
0.99969131,94,6478,2017/06/29
percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.002469517,60,17,2017/06/30
0.006482482,51,43,2017/06/30
0.007408551,49,49,2017/06/30
0.01157586,85,76,2017/06/30
0.013736688,91,90,2017/06/30
0.014045377,93,92,2017/06/30
0.017903998,69,117,2017/06/30
0.021453928,54,140,2017/06/30
0.022071307,52,144,2017/06/30
0.025621238,68,167,2017/06/30
0.025775583,67,168,2017/06/30
0.028708134,56,187,2017/06/30
0.031640685,59,206,2017/06/30
0.037042754,80,241,2017/06/30
0.037197098,79,242,2017/06/30
0.037351443,80,243,2017/06/30
0.041055718,87,267,2017/06/30
0.046149097,77,300,2017/06/30
0.050162062,79,326,2017/06/30
0.050470752,80,328,2017/06/30
0.051551165,72,335,2017/06/30
0.054329372,80,353,2017/06/30
0.056335854,68,366,2017/06/30
0.059577095,54,387,2017/06/30
0.06004013,60,390,2017/06/30
0.063281371,90,411,2017/06/30
0.063744405,103,414,2017/06/30
0.064053095,103,416,2017/06/30
0.064516129,89,419,2017/06/30
0.066676956,94,433,2017/06/30
0.070226887,61,456,2017/06/30
0.071461645,63,464,2017/06/30
0.073931162,66,480,2017/06/30
0.078561506,69,510,2017/06/30
0.078715851,71,511,2017/06/30
0.080413644,67,522,2017/06/30
0.082883161,74,538,2017/06/30
0.083191851,76,540,2017/06/30
0.092143849,77,598,2017/06/30
0.092606884,77,601,2017/06/30
0.094304677,63,612,2017/06/30
0.09924371,80,644,2017/06/30
0.099398055,81,645,2017/06/30
0.101095848,73,656,2017/06/30
0.102639296,85,666,2017/06/30
0.102947986,86,668,2017/06/30
0.103102331,85,669,2017/06/30
0.105263158,81,683,2017/06/30
0.10788702,67,700,2017/06/30
0.110819571,77,719,2017/06/30
0.113134743,73,734,2017/06/30
0.113597777,80,737,2017/06/30
0.114215157,80,741,2017/06/30
0.115449915,71,749,2017/06/30
0.11560426,70,750,2017/06/30
0.117147708,66,760,2017/06/30
0.118073777,61,766,2017/06/30
0.118845501,63,771,2017/06/30
0.119308535,64,774,2017/06/30
0.122549776,79,795,2017/06/30
0.123475845,78,801,2017/06/30
0.124093224,69,805,2017/06/30
0.12748881,78,827,2017/06/30
0.129032258,81,837,2017/06/30
0.13520605,75,877,2017/06/30
0.137058188,64,889,2017/06/30
0.138447291,64,898,2017/06/30
0.138755981,64,900,2017/06/30
0.141071153,60,915,2017/06/30
0.142460256,72,924,2017/06/30
0.144466739,74,937,2017/06/30
0.151720945,79,984,2017/06/30
0.15511653,77,1006,2017/06/30
0.157123013,75,1019,2017/06/30
0.157431702,76,1021,2017/06/30
0.166692391,75,1081,2017/06/30
0.172557493,57,1119,2017/06/30
0.17564439,78,1139,2017/06/30
0.176724803,88,1146,2017/06/30
0.179811699,74,1166,2017/06/30
0.180583423,68,1171,2017/06/30
0.185368112,75,1202,2017/06/30
0.188763698,73,1224,2017/06/30
0.193857077,60,1257,2017/06/30
0.194165766,58,1259,2017/06/30
0.197870042,85,1283,2017/06/30
0.200339559,81,1299,2017/06/30
0.200956938,76,1303,2017/06/30
0.207285075,69,1344,2017/06/30
0.208211144,83,1350,2017/06/30
0.213767557,64,1386,2017/06/30
0.22673252,74,1470,2017/06/30
0.229819417,72,1490,2017/06/30
0.230745485,68,1496,2017/06/30
0.231825899,68,1503,2017/06/30
0.237382312,64,1539,2017/06/30
0.237999691,64,1543,2017/06/30
0.240777898,54,1561,2017/06/30
0.245253897,70,1590,2017/06/30
0.245716932,72,1593,2017/06/30
0.246488656,70,1598,2017/06/30
0.254205896,64,1648,2017/06/30
0.254823275,64,1652,2017/06/30
0.264701343,64,1716,2017/06/30
0.269949066,57,1750,2017/06/30
0.27519679,67,1784,2017/06/30
0.276122858,58,1790,2017/06/30
0.279672789,67,1813,2017/06/30
0.291248649,62,1888,2017/06/30
0.292174718,59,1894,2017/06/30
0.292637753,57,1897,2017/06/30
0.294644235,57,1910,2017/06/30
0.296187683,59,1920,2017/06/30
0.298039821,60,1932,2017/06/30
0.299120235,58,1939,2017/06/30
0.301281062,70,1953,2017/06/30
0.303904924,75,1970,2017/06/30
0.307146165,60,1991,2017/06/30
0.308535268,61,2000,2017/06/30
0.313782991,61,2034,2017/06/30
0.314863405,69,2041,2017/06/30
0.317024232,65,2055,2017/06/30
0.321037197,63,2081,2017/06/30
0.323198024,60,2095,2017/06/30
0.324278438,53,2102,2017/06/30
0.326439265,64,2116,2017/06/30
0.329526161,63,2136,2017/06/30
0.332921747,68,2158,2017/06/30
0.336471678,57,2181,2017/06/30
0.339249884,69,2199,2017/06/30
0.34264547,71,2221,2017/06/30
0.345269332,65,2238,2017/06/30
0.345578021,65,2240,2017/06/30
0.349282297,66,2264,2017/06/30
0.349745331,65,2267,2017/06/30
0.350054021,65,2269,2017/06/30
0.35036271,64,2271,2017/06/30
0.35453002,66,2298,2017/06/30
0.355147399,64,2302,2017/06/30
0.356382158,61,2310,2017/06/30
0.356845192,67,2313,2017/06/30
0.358079951,68,2321,2017/06/30
0.36224726,66,2348,2017/06/30
0.364562432,65,2363,2017/06/30
0.368575397,66,2389,2017/06/30
0.369810156,62,2397,2017/06/30
0.37027319,59,2400,2017/06/30
0.380922982,68,2469,2017/06/30
0.382620775,70,2480,2017/06/30
0.384009878,68,2489,2017/06/30
0.385398981,64,2498,2017/06/30
0.38663374,81,2506,2017/06/30
0.387559809,82,2512,2017/06/30
0.388485877,81,2518,2017/06/30
0.394814015,76,2559,2017/06/30
0.399444359,68,2589,2017/06/30
0.41040284,63,2660,2017/06/30
0.411174564,61,2665,2017/06/30
0.412718012,61,2675,2017/06/30
0.420435252,59,2725,2017/06/30
0.421515666,65,2732,2017/06/30
0.421670011,61,2733,2017/06/30
0.424293873,66,2750,2017/06/30
0.429078562,69,2781,2017/06/30
0.435098009,66,2820,2017/06/30
0.435869733,68,2825,2017/06/30
0.436178423,62,2827,2017/06/30
0.436641457,56,2830,2017/06/30
0.437258836,59,2834,2017/06/30
0.43803056,59,2839,2017/06/30
0.439419664,57,2848,2017/06/30
0.439574008,58,2849,2017/06/30
0.442043525,70,2865,2017/06/30
0.444204353,68,2879,2017/06/30
0.444513042,64,2881,2017/06/30
0.44605649,66,2891,2017/06/30
0.449297731,67,2912,2017/06/30
0.450378145,71,2919,2017/06/30
0.450841179,71,2922,2017/06/30
0.455471523,65,2952,2017/06/30
0.456551937,66,2959,2017/06/30
0.464269177,88,3009,2017/06/30
0.47430159,68,3074,2017/06/30
0.478931934,62,3104,2017/06/30
0.487112209,67,3157,2017/06/30
0.488346967,66,3165,2017/06/30
0.488810002,66,3168,2017/06/30
0.489273036,70,3171,2017/06/30
0.491433863,68,3185,2017/06/30
0.491896898,65,3188,2017/06/30
0.493594691,71,3199,2017/06/30
0.495755518,79,3213,2017/06/30
0.497144621,68,3222,2017/06/30
0.499305448,66,3236,2017/06/30
0.502238,66,3255,2017/06/30
0.504707517,67,3271,2017/06/30
0.514276895,87,3333,2017/06/30
0.522457169,80,3386,2017/06/30
0.524154962,73,3397,2017/06/30
0.531717858,76,3446,2017/06/30
0.531872203,74,3447,2017/06/30
0.532489582,71,3451,2017/06/30
0.533415651,70,3457,2017/06/30
0.535113443,68,3468,2017/06/30
0.535730823,64,3472,2017/06/30
0.53758296,61,3484,2017/06/30
0.539435098,61,3496,2017/06/30
0.541132891,62,3507,2017/06/30
0.542367649,56,3515,2017/06/30
0.547152338,65,3546,2017/06/30
0.549930545,58,3564,2017/06/30
0.550239234,56,3566,2017/06/30
0.550393579,53,3567,2017/06/30
0.551165303,63,3572,2017/06/30
0.553326131,52,3586,2017/06/30
0.55394351,52,3590,2017/06/30
0.556258682,58,3605,2017/06/30
0.559808612,60,3628,2017/06/30
0.562586819,52,3646,2017/06/30
0.564130267,52,3656,2017/06/30
0.571847507,81,3706,2017/06/30
0.579410403,63,3755,2017/06/30
0.580645161,58,3763,2017/06/30
0.585892885,79,3797,2017/06/30
0.588671091,68,3815,2017/06/30
0.58928847,68,3819,2017/06/30
